length_mm,diameter1_mm,diameter2_mm
21273.600,1.7837,1.7852
21285.486,1.8058,1.7744
21303.543,1.7950,1.8041
21317.029,1.8114,1.7689
21317.258,1.8116,1.7718
21317.943,1.8149,1.7860
21340.115,1.7976,1.7772
21350.172,1.8059,1.7811
21350.172,1.8057,1.7705
21371.428,1.7860,1.7896
21393.143,1.7764,1.7987
21393.143,1.7768,1.7982
21417.371,1.7691,1.7815
21429.486,1.7986,1.7861
21429.486,1.7995,1.7861
21430.629,1.7915,1.7804
21458.514,1.7727,1.7840
21467.887,1.7857,1.7795
21467.887,1.7883,1.7821
21495.314,1.7640,1.8157
21516.115,1.7788,1.7846
21516.115,1.7807,1.7913
21547.428,1.7946,1.7968
21554.971,1.7835,1.7897
21554.971,1.7833,1.7917
21572.801,1.7902,1.8054
21602.971,1.8002,1.8011
21605.943,1.7845,1.8046
21614.629,1.7697,1.7887
21647.543,1.7448,1.7938
21655.543,1.7563,1.7942
21658.285,1.7818,1.7865
21696.457,1.7743,1.7870
21710.172,1.7580,1.7993
21710.629,1.7592,1.7778
21742.400,1.7461,1.8036
21761.600,1.7872,1.7761
21762.057,1.7928,1.7861
21800.914,1.7964,1.8095
21813.258,1.7672,1.8066
21817.371,1.7957,1.7810
21861.029,1.7588,1.7959
21867.199,1.7915,1.7957
21867.199,1.7885,1.7959
21867.199,1.7916,1.7957
21867.199,1.7886,1.7958
21867.199,1.7887,1.7957
21867.199,1.7884,1.7958
21867.199,1.7887,1.7989
21867.199,1.7925,1.7991
21867.199,1.7925,1.7990
21867.199,1.7925,1.7991
21867.199,1.7925,1.7990
21867.199,1.7927,1.7990
21867.199,1.7925,1.7958
21868.572,1.7714,1.7927
21890.285,1.7738,1.7970
21901.715,1.7592,1.7920
21912.229,1.7983,1.7897
21952.914,1.7940,1.7836
21952.914,1.7980,1.7873
21981.486,1.7633,1.8063
22006.172,1.7705,1.7972
22007.086,1.7896,1.7940
22050.057,1.7686,1.8027
22068.572,1.7658,1.7966
22079.771,1.8007,1.7947
22117.943,1.7814,1.7968
22130.285,1.7649,1.7973
22135.086,1.7946,1.7958
22170.742,1.7647,1.7918
22188.115,1.7596,1.7898
22188.115,1.7595,1.7898
22188.115,1.7593,1.7919
22190.172,1.7773,1.7688
22214.857,1.8021,1.7888
22227.887,1.7632,1.7873
22227.887,1.7631,1.7750
22236.801,1.7718,1.7730
22255.771,1.7846,1.7796
22280.686,1.7852,1.7954
22282.285,1.7787,1.7954
22284.572,1.7755,1.7836
22316.115,1.7786,1.8002
22329.828,1.7796,1.7995
22331.199,1.7654,1.7845
22357.258,1.7937,1.7660
22374.629,1.7939,1.7706
22376.457,1.7691,1.7831
22385.828,1.7696,1.7783
22386.742,1.7685,1.7691
22387.658,1.7679,1.7781
22398.172,1.7947,1.7779
22412.344,1.7832,1.7687
22420.115,1.7768,1.7688
22427.658,1.7744,1.7852
22430.629,1.7825,1.7857
22430.629,1.7825,1.7857
22430.629,1.7823,1.7824
22430.857,1.7802,1.7853
22430.857,1.7831,1.7857
22430.857,1.7803,1.7853
22430.857,1.7833,1.7855
22430.857,1.7833,1.7908
22431.543,1.7724,1.7963
22431.543,1.7704,1.7963
22433.600,1.7510,1.7992
22446.857,1.7880,1.7824
22451.658,1.7692,1.7799
22465.600,1.7599,1.7702
22467.887,1.7746,1.7683
22467.887,1.7744,1.7875
22480.914,1.7531,1.7706
22487.086,1.7793,1.7850
22494.172,1.7827,1.7848
22494.172,1.7827,1.7849
22494.172,1.7803,1.7869
22498.742,1.7705,1.7772
22516.115,1.7805,1.7732
22516.115,1.7764,1.7963
22532.572,1.7853,1.7745
22548.344,1.7887,1.7764
22549.029,1.7978,1.7778
22554.285,1.7680,1.7706
22576.229,1.7540,1.7898
22589.715,1.7927,1.7943
22594.285,1.7639,1.7799
22612.572,1.7935,1.7782
22628.572,1.7915,1.7840
22628.572,1.7944,1.7864
22632.000,1.7541,1.7791
22650.742,1.7817,1.7683
22660.344,1.7840,1.7794
22660.801,1.7820,1.7604
22673.143,1.7561,1.7694
22687.314,1.7551,1.7826
22687.314,1.7585,1.7575
22700.344,1.7765,1.7615
22716.115,1.7812,1.7855
22726.400,1.7576,1.7967
22726.629,1.7564,1.7595
22746.742,1.7802,1.7809
22761.600,1.7694,1.7651
22761.828,1.7730,1.7762
22779.658,1.7766,1.7884
22794.057,1.7840,1.7728
22794.057,1.7878,1.7705
22812.115,1.7832,1.7732
22825.828,1.7961,1.7750
22826.057,1.7964,1.7753
22826.057,1.7963,1.7887
22834.285,1.7926,1.7816
22850.514,1.7905,1.7666
22864.000,1.7783,1.7747
22865.828,1.7983,1.7744
22865.828,1.7982,1.7744
22865.828,1.7983,1.7743
22865.828,1.7959,1.7749
22865.828,1.7958,1.7930
22880.686,1.7823,1.7944
22900.801,1.7619,1.7973
22908.572,1.7568,1.7923
22908.572,1.7542,1.7788
22918.172,1.7450,1.7938
22930.057,1.7808,1.7919
22946.742,1.7787,1.7814
22955.428,1.7780,1.7975
22955.428,1.7789,1.7951
22963.428,1.7667,1.7785
22982.857,1.7749,1.7828
22993.143,1.7959,1.7851
22996.572,1.7602,1.7881
22997.258,1.7632,1.7775
23015.543,1.7917,1.7724
23029.943,1.7619,1.7834
23029.943,1.7612,1.7827
23029.943,1.7612,1.7796
23029.943,1.7612,1.7794
23030.400,1.7748,1.7766
23030.400,1.7750,1.7769
23030.629,1.7775,1.7951
23048.000,1.7874,1.7753
23057.600,1.7635,1.7846
23057.600,1.7654,1.7843
23057.600,1.7658,1.7843
23057.600,1.7657,1.7842
23057.600,1.7655,1.7820
23079.543,1.7858,1.7803
23098.057,1.7475,1.7987
23098.514,1.7428,1.7959
23105.600,1.7627,1.7860
23131.887,1.7383,1.7743
23138.057,1.7705,1.7974
23138.057,1.7716,1.7975
23138.057,1.7718,1.7975
23138.057,1.7748,1.7974
23138.057,1.7748,1.7999
23138.057,1.7716,1.7974
23138.057,1.7717,1.7975
23138.057,1.7715,1.8000
23138.057,1.7714,1.7998
23138.057,1.7715,1.8000
23138.057,1.7716,1.7999
23138.057,1.7712,1.7999
23138.057,1.7711,1.7998
23138.057,1.7718,1.7994
23144.000,1.7805,1.8042
23164.344,1.7388,1.7931
23168.686,1.7705,1.8107
23180.572,1.7545,1.7724
23199.086,1.7886,1.7681
23199.086,1.7883,1.7679
23199.086,1.7883,1.7774
23200.229,1.7794,1.8034
23213.258,1.7707,1.7788
23213.258,1.7706,1.7787
23213.258,1.7708,1.7788
23213.943,1.7765,1.7706
23214.172,1.7772,1.7704
23214.172,1.7773,1.7709
23214.172,1.7770,1.7652
23223.086,1.7984,1.7697
23223.543,1.7941,1.8040
23228.115,1.7677,1.7650
23232.000,1.7829,1.7797
23232.000,1.7861,1.7801
23232.000,1.7869,1.7802
23232.000,1.7870,1.7801
23232.000,1.7868,1.7799
23232.000,1.7869,1.7800
23232.000,1.7869,1.7798
23232.000,1.7854,1.7798
23232.000,1.7862,1.7787
23244.572,1.7721,1.7832
23255.314,1.7823,1.7908
23269.715,1.7898,1.7676
23269.715,1.7873,1.7699
23269.715,1.7900,1.7700
23269.715,1.7901,1.7653
23270.857,1.7890,1.7769
23288.000,1.7632,1.7826
23308.801,1.7768,1.7683
23308.801,1.7772,1.7683
23327.314,1.7791,1.7882
23350.629,1.7800,1.7729
23351.314,1.7785,1.7816
23368.000,1.7610,1.7682
23389.258,1.7920,1.7952
23392.686,1.7710,1.7951
23399.771,1.7672,1.7761
23432.914,1.7716,1.7798
23438.400,1.7912,1.7856
23446.629,1.7793,1.7658
23471.314,1.7707,1.7742
23477.258,1.7820,1.7775
23485.486,1.7905,1.7692
23506.971,1.7766,1.7604
23522.742,1.7779,1.7664
23522.742,1.7781,1.7584
23532.115,1.7957,1.7668
23554.742,1.7782,1.7618
23555.658,1.7846,1.7623
23556.344,1.7911,1.7699
23570.514,1.7823,1.7940
23577.371,1.7703,1.7922
23577.371,1.7678,1.7945
23577.371,1.7704,1.7942
23577.371,1.7679,1.7939
23577.371,1.7679,1.7941
23577.371,1.7679,1.7937
23577.371,1.7689,1.7905
23577.371,1.7681,1.7881
23581.029,1.7760,1.7684
23592.000,1.7596,1.8018
23592.000,1.7595,1.8016
23592.000,1.7603,1.8024
23592.000,1.7603,1.8024
23592.000,1.7603,1.8023
23592.000,1.7605,1.8024
23592.000,1.7604,1.8025
23592.000,1.7601,1.8024
23592.000,1.7604,1.8022
23592.000,1.7603,1.8024
23592.000,1.7602,1.8022
23592.000,1.7606,1.8025
23592.000,1.7636,1.8018
23602.971,1.7803,1.7954
23611.887,1.7921,1.7813
23626.057,1.7806,1.7844
23626.285,1.7791,1.7812
23627.887,1.7952,1.8039
23631.314,1.7846,1.8073
23631.314,1.7856,1.8077
23631.314,1.7857,1.8076
23631.314,1.7853,1.7911
23646.400,1.7793,1.8058
23662.629,1.7724,1.7835
23667.428,1.7919,1.8006
23670.629,1.7627,1.7879
23679.086,1.7604,1.8003
23679.086,1.7646,1.8003
23679.086,1.7650,1.8016
23696.686,1.7810,1.7852
23699.199,1.8014,1.7820
23699.428,1.8040,1.7823
23699.428,1.8038,1.7949
23713.143,1.7765,1.7947
23722.742,1.7965,1.8049
23728.914,1.7712,1.7922
23729.600,1.7857,1.7876
23729.600,1.7851,1.7846
23737.371,1.7869,1.7975
23760.000,1.7712,1.7982
23773.258,1.7608,1.8053
23776.000,1.7687,1.8035
23802.971,1.7772,1.7900
23821.029,1.7532,1.7966
23827.199,1.7870,1.7968
23829.943,1.7487,1.7890
23853.943,1.7371,1.7745
23876.115,1.7648,1.8035
23885.486,1.7493,1.8068
23885.486,1.7483,1.7800
23898.285,1.7782,1.7975
23919.543,1.7483,1.7792
23934.400,1.7531,1.7827
23935.771,1.7642,1.7803
23942.172,1.7484,1.7896
23961.371,1.7824,1.7781
23977.143,1.7885,1.7704
23987.887,1.7665,1.7908
23987.887,1.7652,1.7917
23997.486,1.7407,1.7694
24017.600,1.7862,1.7722
24029.258,1.7554,1.7723
24031.543,1.7677,1.7724
24032.457,1.7919,1.7659
24041.143,1.7882,1.7667
24053.258,1.7487,1.7726
24066.285,1.7849,1.7781
24070.857,1.7645,1.7758
24070.857,1.7643,1.7757
24070.857,1.7643,1.7782
24070.857,1.7646,1.7782
24070.857,1.7644,1.7780
24070.857,1.7638,1.7764
24070.857,1.7639,1.7764
24070.857,1.7640,1.7765
24070.857,1.7638,1.7765
24070.857,1.7639,1.7766
24070.857,1.7640,1.7767
24070.857,1.7641,1.7763
24070.857,1.7642,1.7764
24070.857,1.7642,1.7764
24070.857,1.7641,1.7763
24070.857,1.7643,1.7766
24070.857,1.7643,1.7760
24070.857,1.7644,1.7761
24070.857,1.7643,1.7758
24071.086,1.7680,1.7686
24088.000,1.7773,1.7697
24095.771,1.7719,1.7679
24095.771,1.7690,1.7719
24109.943,1.7499,1.7720
24110.400,1.7531,1.7682
24118.629,1.7678,1.7892
24127.771,1.7903,1.7725
24128.914,1.7982,1.7726
24128.914,1.7978,1.7883
24133.258,1.7583,1.7848
24147.887,1.7631,1.7755
24152.229,1.7947,1.7752
24152.229,1.7948,1.7734
24152.229,1.7949,1.7731
24153.143,1.7924,1.7715
24168.914,1.7792,1.7781
24183.086,1.7863,1.7854
24198.400,1.7871,1.7961
24204.344,1.7687,1.7973
24204.344,1.7681,1.7749
24217.600,1.7853,1.7813
24232.457,1.7922,1.7836
24246.857,1.7971,1.7861
24248.457,1.8063,1.7839
24248.457,1.8023,1.8078
24257.371,1.7846,1.8042
24277.486,1.7787,1.7738
24296.914,1.7825,1.7721
24304.000,1.7930,1.7847
24304.000,1.7932,1.7904
24311.086,1.8047,1.7942
24333.258,1.7876,1.7926
24357.943,1.7954,1.7754
24369.828,1.7687,1.8053
24369.828,1.7728,1.7980
24375.086,1.7958,1.7762
24390.172,1.7981,1.7712
24404.115,1.7664,1.7994
24414.400,1.8003,1.7789
24424.000,1.7815,1.7842
24429.715,1.8024,1.7845
24429.715,1.8049,1.8026
24435.658,1.7772,1.8093
24461.715,1.7961,1.7816
24481.143,1.7841,1.7886
24481.143,1.7824,1.7734
24490.742,1.7761,1.7760
24503.771,1.7887,1.7995
24504.000,1.7852,1.7788
24507.428,1.7837,1.7577
24507.887,1.7876,1.7578
24507.887,1.7875,1.7577
24507.887,1.7876,1.7577
24507.887,1.7886,1.7848
24514.742,1.7861,1.7660
24515.199,1.7886,1.7691
24517.258,1.8054,1.7689
24524.344,1.8063,1.7645
24524.344,1.8065,1.7645
24524.344,1.8062,1.7646
24524.344,1.8063,1.7933
24533.029,1.7882,1.7658
24544.000,1.7723,1.7734
24549.943,1.7818,1.7712
24556.344,1.8033,1.7779
24556.572,1.7962,1.7717
24568.686,1.7614,1.7971
24579.428,1.7879,1.7706
24593.600,1.7706,1.7822
24607.086,1.7725,1.7742
24616.686,1.7695,1.7631
24619.658,1.8002,1.7630
24620.344,1.7959,1.7711
24640.686,1.7758,1.7618
24670.857,1.7722,1.7780
24671.543,1.7620,1.7775
24680.914,1.7777,1.7854
24706.971,1.7915,1.7825
24731.887,1.8029,1.7951
24734.400,1.7746,1.7954
24745.143,1.7826,1.7719
24768.457,1.7781,1.7902
24790.172,1.7782,1.7952
24797.486,1.7841,1.7958
24799.314,1.7576,1.8037
24828.115,1.7678,1.7947
24858.742,1.7913,1.7827
24864.914,1.7808,1.7833
24865.371,1.7921,1.7767
24877.486,1.7599,1.7931
24901.258,1.7455,1.8028
24924.572,1.7473,1.7905
24925.715,1.7443,1.7893
24934.400,1.7447,1.7831
24948.344,1.7624,1.7996
24961.828,1.7934,1.7844
24977.600,1.7840,1.7917
24989.258,1.7529,1.7954
24989.258,1.7494,1.7995
25018.285,1.7739,1.7847
25045.486,1.7556,1.8027
25053.258,1.7442,1.8009
25057.143,1.7742,1.7713
25080.229,1.7829,1.7809
25106.742,1.7688,1.7937
25119.086,1.7801,1.7625
25119.086,1.7797,1.7924
25138.971,1.7534,1.7690
25169.143,1.7628,1.7824
25181.258,1.7810,1.7571
25181.258,1.7809,1.7551
25192.914,1.7662,1.7674
25219.430,1.7642,1.7732
25245.029,1.7689,1.7602
25246.629,1.7835,1.7617
25250.514,1.7631,1.7800
25274.742,1.7521,1.7993
25305.828,1.7690,1.7692
25309.943,1.7911,1.7690
25311.314,1.7935,1.7905
25347.430,1.7738,1.7596
25358.629,1.7964,1.7694
25358.629,1.7984,1.7690
25361.371,1.7737,1.7924
25361.828,1.7707,1.7874
25368.914,1.7638,1.7944
25380.572,1.7866,1.7642
25380.572,1.7865,1.7643
25380.572,1.7854,1.7622
25380.801,1.7889,1.7623
25380.801,1.7887,1.7621
25380.801,1.7858,1.7963
25399.086,1.7731,1.7979
25399.543,1.7676,1.7977
25399.771,1.7664,1.8000
25402.742,1.7701,1.7659
25408.457,1.7634,1.7901
25408.914,1.7607,1.7856
25412.344,1.7767,1.7920
25420.572,1.7820,1.7685
25420.572,1.7821,1.7782
25424.686,1.7679,1.7700
25430.629,1.7776,1.7943
25430.629,1.7776,1.7943
25430.629,1.7776,1.7944
25430.629,1.7780,1.7945
25430.629,1.7781,1.7944
25430.629,1.7779,1.7944
25430.629,1.7761,1.7944
25430.629,1.7781,1.7688
25445.715,1.7867,1.7716
25458.742,1.7705,1.7903
25466.742,1.7750,1.7819
25474.742,1.7787,1.7754
25488.686,1.7670,1.7798
25492.344,1.8010,1.7763
25495.771,1.7627,1.8068
25520.000,1.7566,1.7784
25523.887,1.7975,1.7805
25523.887,1.7973,1.7805
25524.115,1.7977,1.7790
25524.115,1.7978,1.7788
25524.115,1.7977,1.7789
25524.801,1.7910,1.7788
25538.057,1.7777,1.8021
25541.943,1.7732,1.8021
25541.943,1.7733,1.8019
25541.943,1.7732,1.8017
25541.943,1.7731,1.8008
25546.057,1.7714,1.8072
25553.143,1.7598,1.8162
25558.629,1.7799,1.8163
25559.086,1.7752,1.8037
25571.887,1.7934,1.7856
25586.742,1.8005,1.7780
25586.971,1.7988,1.7782
25586.971,1.7989,1.7778
25589.486,1.7808,1.7769
25600.457,1.7733,1.7861
25603.430,1.8054,1.7874
25604.344,1.8032,1.7791
25610.057,1.7977,1.7824
25616.229,1.7746,1.7779
25616.229,1.7746,1.7778
25616.229,1.7747,1.7781
25616.229,1.7775,1.7779
25616.229,1.7775,1.7777
25616.229,1.7775,1.7777
25616.229,1.7775,1.7777
25616.229,1.7776,1.7778
25616.229,1.7776,1.7777
25616.229,1.7776,1.7776
25616.229,1.7777,1.7776
25616.229,1.7776,1.7776
25616.229,1.7745,1.7903
25625.143,1.7950,1.7792
25626.057,1.8049,1.7808
25633.828,1.7979,1.7792
25653.029,1.7772,1.8061
25678.172,1.7792,1.7849
25678.629,1.7767,1.7809
25697.600,1.8003,1.8020
25720.686,1.7987,1.7866
25725.943,1.7598,1.7764
25741.258,1.7525,1.7917
25772.572,1.7677,1.7892
25784.914,1.7918,1.7697
25784.914,1.7903,1.7675
25801.143,1.8026,1.7855
25822.857,1.7660,1.8020
25827.887,1.7665,1.7939
25844.344,1.7491,1.7887
25879.086,1.7703,1.7732
25888.229,1.7857,1.7774
25888.229,1.7855,1.7770
25888.229,1.7851,1.7742
25888.229,1.7852,1.7751
25888.229,1.7888,1.7714
25888.457,1.7875,1.7752
25888.457,1.7877,1.7751
25888.457,1.7873,1.7746
25888.457,1.7875,1.7713
25888.457,1.7877,1.7729
25888.457,1.7875,1.7756
25888.914,1.7933,1.8065
25907.430,1.7652,1.7847
25927.314,1.7830,1.7919
25938.514,1.7826,1.8052
25938.514,1.7824,1.8098
25950.400,1.7724,1.8059
25966.857,1.7804,1.7973
25983.543,1.7955,1.7709
25983.771,1.7984,1.7725
25992.914,1.7945,1.7919
26016.229,1.8003,1.7797
26034.971,1.7651,1.8024
26034.971,1.7696,1.8015
26042.742,1.7666,1.7875
26063.543,1.7980,1.7806
26085.486,1.7787,1.7987
26098.285,1.7697,1.7988
26098.285,1.7705,1.7953
26101.715,1.7912,1.8071
26131.199,1.7739,1.7838
26158.857,1.7856,1.7761
26165.029,1.7799,1.7702
26165.029,1.7800,1.7701
26167.314,1.8000,1.7920
26194.514,1.7720,1.7809
26213.486,1.7924,1.7721
26213.486,1.7923,1.7723
26213.715,1.7929,1.7708
26213.715,1.7913,1.7750
26213.943,1.7974,1.7748
26213.943,1.7974,1.7748
26213.943,1.7971,1.7748
26213.943,1.7971,1.7749
26213.943,1.7972,1.7747
26213.943,1.7942,1.7746
26214.172,1.7979,1.7733
26214.172,1.7980,1.7731
26214.172,1.7980,1.7707
26224.000,1.7921,1.7946
26225.371,1.7792,1.7943
26225.371,1.7812,1.7940
26225.600,1.7812,1.7940
26225.828,1.7786,1.7809
26248.000,1.7829,1.7836
26265.600,1.7716,1.7825
26282.742,1.7834,1.7782
26286.629,1.7935,1.7760
26286.629,1.7930,1.7674
26307.887,1.7895,1.7882
26325.486,1.7939,1.7915
26345.828,1.7697,1.7665
26346.971,1.7834,1.7616
26348.801,1.8004,1.7608
26349.029,1.7987,1.7710
26353.828,1.7672,1.7675
26353.828,1.7672,1.7699
26353.828,1.7671,1.7701
26353.828,1.7674,1.7698
26355.658,1.7953,1.7888
26361.600,1.7689,1.7768
26361.600,1.7690,1.7767
26361.600,1.7690,1.7767
26361.600,1.7689,1.7766
26361.600,1.7688,1.7765
26361.600,1.7687,1.7736
26361.828,1.7720,1.7738
26361.828,1.7720,1.7736
26361.828,1.7721,1.7737
26361.828,1.7724,1.7742
26361.828,1.7721,1.7637
26368.457,1.7671,1.7710
26378.057,1.7618,1.7704
26378.057,1.7616,1.7604
26386.971,1.7784,1.7818
26400.686,1.7594,1.7931
26413.486,1.7958,1.7743
26413.486,1.7965,1.7780
26413.486,1.8011,1.7773
26414.629,1.7801,1.7929
26434.514,1.7839,1.7550
26449.143,1.7726,1.7841
26449.143,1.7728,1.7841
26449.828,1.7816,1.7874
26468.115,1.7932,1.7764
26481.828,1.7893,1.7821
26495.543,1.7610,1.8044
26495.771,1.7607,1.8039
26495.771,1.7616,1.8001
26503.543,1.7550,1.7792
26523.199,1.7952,1.7789
26530.742,1.7901,1.7764
26530.742,1.7902,1.7764
26542.629,1.7806,1.7803
26560.457,1.7619,1.7863
26561.371,1.7731,1.7861
26561.371,1.7731,1.7859
26561.371,1.7705,1.7925
26571.887,1.7963,1.7807
26571.887,1.7964,1.7804
26571.887,1.7966,1.7803
26571.887,1.7965,1.7804
26571.887,1.7964,1.7805
26571.887,1.7966,1.7803
26571.887,1.7965,1.7803
26571.887,1.7963,1.7804
26571.887,1.7964,1.7802
26571.887,1.7966,1.7802
26571.887,1.7965,1.7802
26571.887,1.7963,1.7803
26571.887,1.7964,1.7801
26571.887,1.7960,1.7881
26573.486,1.7843,1.7969
26579.199,1.7968,1.8018
26597.029,1.7681,1.8021
26599.771,1.7545,1.8022
26600.229,1.7595,1.7911
26619.430,1.7808,1.7827
26636.344,1.7732,1.7769
26651.887,1.7788,1.7921
26656.229,1.7722,1.7924
26656.686,1.7789,1.7991
26667.887,1.7890,1.7964
26683.887,1.7757,1.7759
26706.514,1.7879,1.7944
26725.258,1.7858,1.7957
26725.258,1.7888,1.7990
26725.258,1.7900,1.7869
26744.000,1.7852,1.7876
26769.143,1.7946,1.7751
26788.115,1.7751,1.7975
26788.115,1.7752,1.7682
26805.486,1.7807,1.8012
26830.857,1.7904,1.8020
26845.486,1.7713,1.7751
26858.514,1.7862,1.8013
26858.514,1.7857,1.7844
26874.971,1.7753,1.8022
26885.486,1.7763,1.7766
26886.629,1.7956,1.7763
26886.629,1.7956,1.7763
26886.629,1.7929,1.7762
26886.629,1.7955,1.7762
26886.629,1.7955,1.7761
26886.629,1.7955,1.7761
26886.629,1.7955,1.7763
26886.629,1.7953,1.7702
26900.801,1.7718,1.7950
26913.143,1.7860,1.7787
26916.115,1.7660,1.7810
26917.715,1.7888,1.7751
26939.658,1.7806,1.7947
26952.686,1.7875,1.7888
26962.285,1.7807,1.7781
26971.658,1.7720,1.7754
26971.887,1.7712,1.7753
26974.857,1.8086,1.7782
26986.057,1.7703,1.7966
26986.285,1.7655,1.7965
26986.285,1.7654,1.7964
26986.285,1.7655,1.7758
26991.086,1.8083,1.7715
26991.086,1.8092,1.7704
26991.086,1.8054,1.7728
26991.086,1.8083,1.7729
26991.086,1.8084,1.7728
26991.771,1.8060,1.7656
27001.600,1.7649,1.7854
27013.486,1.7944,1.8054
27018.971,1.7563,1.7903
27018.971,1.7544,1.7678
27032.457,1.7768,1.7759
27049.371,1.7647,1.7987
27058.742,1.7694,1.7681
27065.828,1.7705,1.8004
27074.971,1.7662,1.8009
27074.971,1.7692,1.7867
27087.086,1.7941,1.7951
27107.430,1.7585,1.7889
27115.199,1.7614,1.7980
27128.000,1.7831,1.8026
27128.686,1.7788,1.8010
27128.686,1.7814,1.8007
27128.686,1.7780,1.7853
27147.199,1.7720,1.7771
27163.658,1.7860,1.8131
27175.086,1.7818,1.8005
27175.771,1.7789,1.8010
27175.771,1.7767,1.7837
27191.543,1.7827,1.7778
27207.314,1.7883,1.7938
27210.514,1.7652,1.7927
27210.514,1.7685,1.7935
27217.600,1.7685,1.7870
27234.285,1.7722,1.8093
27243.199,1.7751,1.7734
27254.400,1.7950,1.7961
27257.600,1.7726,1.7949
27257.600,1.7693,1.7965
27272.686,1.7687,1.7771
27292.115,1.7915,1.7953
27304.914,1.7724,1.8010
27304.914,1.7738,1.8010
27305.371,1.7755,1.7756
27326.629,1.7811,1.7803
27346.742,1.7816,1.7777
27360.000,1.7783,1.8046
27360.000,1.7791,1.8021
27368.229,1.7752,1.8046
27387.658,1.8032,1.8077
27403.658,1.8087,1.8028
27406.857,1.7915,1.8030
27407.086,1.7891,1.8020
27430.172,1.7880,1.8025
27452.115,1.8039,1.7854
27460.344,1.8026,1.7888
27460.344,1.8024,1.7940
27474.514,1.8002,1.7758
27500.344,1.7965,1.7906
27512.000,1.7769,1.8005
27522.971,1.8029,1.7791
27528.914,1.7768,1.7732
27528.914,1.7774,1.7747
27536.914,1.7789,1.7767
27558.400,1.7769,1.7814
27564.344,1.7933,1.7917
27564.344,1.7929,1.7989
27570.971,1.8038,1.7759
27595.887,1.7911,1.8058
27612.115,1.7953,1.7930
27625.143,1.7876,1.7789
27625.143,1.7877,1.7789
27625.143,1.7876,1.7789
27625.143,1.7876,1.7787
27625.143,1.7878,1.7788
27625.143,1.7880,1.7790
27631.314,1.7733,1.7760
27652.572,1.7846,1.7920
27654.400,1.7726,1.7921
27655.771,1.7710,1.7904
27672.686,1.7923,1.7894
27693.258,1.7689,1.8050
27721.828,1.7854,1.7707
27722.057,1.7897,1.7712
27723.658,1.7812,1.8040
27747.430,1.7841,1.7821
27768.914,1.7933,1.8082
27773.258,1.7717,1.8091
27777.371,1.7963,1.8133
27808.686,1.7938,1.7782
27821.258,1.7756,1.7996
27829.715,1.7739,1.7958
27829.943,1.7752,1.7871
27857.600,1.8034,1.7975
27875.430,1.7834,1.7978
27896.229,1.8057,1.7928
27900.801,1.7760,1.7962
27900.801,1.7732,1.7911
27915.430,1.7810,1.7982
27942.172,1.7894,1.8005
27962.971,1.7799,1.8016
27963.199,1.7817,1.7975
27968.229,1.8065,1.7746
27994.285,1.7770,1.7938
28014.857,1.7949,1.7706
